,name,locality,region,postal_code,latitude,longitude,dgcr_id,year_established,tee_type,basket_type,holes,length,hours_to_play,multiple_layouts,hills,woods,par,sse,difficulty,rating,rating_count
5234,Sequoyah State Park,Hulbert,OK,74441,35.896629,-95.242179,5795,2012,Grass,Re-Tire Model A,18,16400,7.14,True,2,0,73,46.6,-1.4666666666666666,4.75,2
1045,China Peak DGC,Lakeshore,CA,93634,37.236316,-119.158487,6299,2013,Rubber,DISCatcher,27,12962,5.84,False,2,1,84,92.7,0.32222222222222235,4.5,8
2812,Jamestown Reservoir DGC,Jamestown,ND,58401,46.945319,-98.705633,575,2007,Concrete,DISCatcher,24,12666,5.73,True,1,0,82,70.3,-0.4875000000000001,4.43,7
5929,The Rock at Stonewall,Germanton,NC,27019,36.27593,-80.245988,8724,2016,Grass,Dynamic Veteran,18,12476,5.66,True,2,0,70,69.1,-0.050000000000000315,3.96,13
4881,Riverbend DGC,Estacada,OR,97023,45.30664,-122.366399,416,1996,Concrete,DISCatcher,27,12333,5.6,True,1,1,89,81.3,-0.28518518518518526,4.62,75
179,Arsenal @ Southern Hills,Danville,VA,24541,36.556903,-79.43255,9644,2018,Grass,Dynamic Veteran,18,12130,5.52,True,2,0,70,68.0,-0.1111111111111111,4.13,4
3408,Lizard Peak DGC,Sun Valley,NV,89433,39.607358,-119.7854,7177,2014,Terrawalks,DISCatcher,27,11989,5.47,False,1,0,92,80.3,-0.43333333333333346,4.0,9
2384,Harmon Hills,Fall Branch,TN,37656,36.353499,-82.648451,3840,2009,Concrete,Mach 5,27,11481,5.28,False,1,1,100,86.9,-0.485185185185185,4.73,70
6519,Whispering Falls DGC,Greencastle,PA,17225,39.769311,-77.770157,2416,2007,Rubber,DISCatcher,27,11212,5.18,True,1,1,92,85.7,-0.23333333333333323,3.45,38
2706,Idlewild,Burlington,KY,41005,39.037777,-84.735972,507,2000,Concrete,DISCatcher,24,11039,5.11,True,2,1,90,80.4,-0.39999999999999974,4.76,189
447,Bird's Ruins DGC,Marshall,WI,53559,43.181936,-89.076514,4800,2011,Concrete,Chainstar,28,10962,5.08,True,1,1,88,83.7,-0.15357142857142847,3.83,32
6243,Vallarta-Ast DGC,Deforest,WI,53532,43.176361,-89.315611,805,2001,Concrete,Mach 5,27,10948,5.08,True,0,1,81,79.4,-0.059259259259259046,3.94,52
464,Black Diamond DGC,South Wales,NY,14139,42.7154,-78.5927,3037,2008,Natural,Chainstar,18,10801,5.02,True,2,1,71,71.6,0.03333333333333302,4.15,43
4067,No Boundary - Main,Cranberry Township,PA,16066,40.7193,-80.0863,9978,2019,Concrete,DISCatcher,18,10742,5.0,True,2,2,71,78.4,0.4111111111111114,4.08,6
6465,West Lake Park,Davenport,IA,52804,41.520386,-90.680431,2418,2007,Concrete,DISCatcher,24,10732,5.0,True,2,1,89,79.5,-0.3958333333333333,4.38,28
5539,Spring Valley DGC,Spring,TX,77389,30.129187,-95.504985,1858,2005,Concrete,Mach X,28,10671,4.97,True,0,1,90,85.0,-0.17857142857142858,3.84,37
2180,Goat Hill Park,Oceanside,CA,92054,33.197687,-117.358714,4372,2011,Turf,DISCatcher,18,10588,4.94,True,2,0,69,67.0,-0.1111111111111111,3.85,20
1860,Farragut SP - Cutthroat,Athol,ID,83801,47.969271,-116.562317,9346,2016,Mixed,DISCatcher,18,10580,4.94,True,0,0,67,61.8,-0.28888888888888903,2.33,3
1548,Double Eagle - Marine/Navy,Ft. Gordon,GA,30905,33.42084,-82.134615,8824,2016,Concrete,Mach X,20,10563,4.93,True,2,1,71,72.0,0.05,4.25,2
2704,IDGC - WR Jackson Memorial DGC,Appling,GA,30802,33.64618,-82.28843,2039,2007,Concrete,DISCatcher,18,10485,4.9,True,1,1,68,66.3,-0.09444444444444461,4.45,49
494,Blue Lake Regional Park,Fairview,OR,97024,45.555493,-122.445073,5646,2012,Concrete,DISCatcher,18,10470,4.9,False,0,0,69,59.2,-0.5444444444444443,3.78,27
1501,Disc Side of Heaven - Champ,Jonesboro,AR,72404,35.821283,-90.775706,6079,2013,Turf,DISCatcher,18,10449,4.89,True,2,0,66,60.4,-0.31111111111111117,4.5,2
6580,Wildhorse Golf Club - Afternoon,Henderson,NV,89014,36.0597,-115.082,8341,2016,Grass,DISCatcher,23,10385,4.86,True,0,0,76,69.2,-0.2956521739130434,4.0,1
732,Caesar Ford Park - Championship,Xenia,OH,45385,39.66957,-83.83363,11044,2019,Concrete,DISCatcher,18,10346,4.85,True,1,1,68,68.4,0.02222222222222254,4.08,6
2310,Groves Park - The Mounds,Oak Ridge,TN,37830,35.991168,-84.277014,2719,2008,Paver,DISCatcher,18,10300,4.83,True,1,1,62,63.9,0.10555555555555547,3.6,34
6402,Waterloo Exchange Park,Waterloo,IA,50703,42.509992,-92.358102,1986,1987,Concrete,Mach 3,27,10286,4.83,False,0,1,84,78.7,-0.1962962962962962,3.82,19
6123,Turquoise Valley DGC,Naco,AZ,85620,31.34022,-109.94303,10656,2019,Natural,n/a,18,10235,4.81,True,0,0,60,61.6,0.08888888888888896,4.5,1
6030,Tom Brown Park,Tallahassee,FL,32301,30.446495,-84.212632,8877,2002,Concrete,DISCatcher,24,10225,4.8,True,1,1,78,74.5,-0.14583333333333334,4.25,8
5220,Seatac DGC,Seatac,WA,98168,47.4818,-122.30794,6718,2003,Concrete,Basket,27,10207,4.8,True,0,1,87,80.4,-0.24444444444444424,3.87,15
6025,Todd Park,Austin,MN,55912,43.6892,-92.954,801,1991,Concrete,Mach 3,21,10114,4.76,True,0,1,67,62.9,-0.1952380952380953,3.93,14
2754,Iron Hill,Newark,DE,19702,39.638753,-75.756279,2737,2008,Concrete,DISCatcher,18,10045,4.74,True,2,2,72,77.7,0.3166666666666668,4.29,72
6354,Wallace State Community College,Hanceville,AL,35077,34.071052,-86.788876,7682,2015,Concrete,DISCatcher,18,10029,4.73,True,1,0,68,52.7,-0.8499999999999999,3.58,6
419,Big Hill Lake - South,Cherryvale,KS,67335,37.274273,-95.471309,8842,2016,Concrete,Basket,18,10013,4.72,True,2,1,63,68.3,0.2944444444444443,3.83,3
4345,Palmore Park,Tuscaloosa,AL,35401,33.179891,-87.604315,6030,2013,Concrete,DISCatcher,18,10000,4.72,True,0,0,66,60.3,-0.3166666666666668,3.25,8
3527,Mahr Park - Champ,Madisonville,KY,42431,37.350539,-87.509175,8359,2016,Concrete,DISCatcher,18,10000,4.72,False,2,1,69,60.8,-0.4555555555555557,4.36,7
4240,Old Warrior Run DGC,Belden,MS,38826,34.257695,-88.891368,1646,2004,Concrete,Mach 5,18,9936,4.7,True,1,1,69,68.3,-0.03888888888888905,3.85,23
3682,Meade Olin Park,Brandenburg,KY,40108,37.997837,-86.16015,1540,1998,Concrete,Mixed,27,9916,4.69,True,1,1,84,79.6,-0.16296296296296317,3.39,22
605,Brian Head Resort DGC,Brian Head,UT,84719,37.683666,-112.834633,350,2004,Grass,Basket,18,9900,4.68,False,2,1,81,67.8,-0.7333333333333335,3.4,10
5062,Rough River Dam DGC,Falls of Rough,KY,40119,37.61525,-86.50442,7496,2014,Concrete,Basket,18,9835,4.66,True,1,0,64,59.0,-0.2777777777777778,3.75,2
5453,South Highland Sports Club,Mayfield,KY,42066,36.68192,-88.633929,6432,2013,Grass,DGA,18,9815,4.65,True,1,0,62,59.1,-0.16111111111111104,4.14,7
3282,Lemon Lake County Park - Gold/Silver,Crown Point,IN,46307,41.380798,-87.407742,2968,2008,Concrete,DISCatcher,18,9800,4.64,True,1,2,64,56.3,-0.4277777777777779,4.0,30
2722,Indian Creek DGC,Huntsville,AL,35806,34.735088,-86.70298,3692,2009,Concrete,DISCatcher,18,9800,4.64,True,1,1,58,57.5,-0.027777777777777776,4.14,37
2224,Granbury City DGC,Granbury,TX,76048,32.447911,-97.796851,4843,2011,Concrete,Mach New 2,22,9799,4.64,True,0,0,68,59.2,-0.39999999999999986,3.66,16
2527,Highbridge Hills - Highbridge Gold,Highbridge,WI,54846,46.368618,-90.747002,383,2004,Concrete,DISCatcher,18,9780,4.64,True,2,1,68,65.5,-0.1388888888888889,4.55,33
685,Buhl Park,Hermitage,PA,16148,41.249478,-80.48755,7784,2015,Concrete,Mach 5,18,9763,4.63,True,1,1,65,65.5,0.027777777777777776,3.8,20
2149,Giants Ridge,Biwabik,MN,55708,47.578422,-92.303921,1308,2000,Concrete,Mach 3,18,9720,4.61,True,2,1,72,67.0,-0.2777777777777778,4.29,14
